Time (s),Applied Torque (Nm),Load Cell 0 (V),Load Cell 1 (V)
.001,.08,-.3783,-1.4924
.002,.08,-.3789,-1.4911
.003,.08,-.3783,-1.4904
.004,.08,-.378,-1.4888
.005,.08,-.378,-1.4878
.006,.08,-.378,-1.4869
.007,.08,-.377,-1.4849
.008,.08,-.3763,-1.4836
.009,.08,-.377,-1.4833
.01,.08,-.376,-1.4807
.011,.08,-.3754,-1.4814
.012,.08,-.3754,-1.4836
.013,.08,-.3747,-1.4859
.014,.08,-.3741,-1.4885
.015,.08,-.3731,-1.4914
.016,.08,-.3728,-1.4937
.017,.08,-.3718,-1.4956
.018,.08,-.3712,-1.4966
.019,.08,-.3699,-1.4979
.02,.08,-.3695,-1.4982
.021,.08,-.3689,-1.4985
.022,.08,-.3695,-1.4989
.023,.08,-.3702,-1.4982
.024,.08,-.3724,-1.4976
.025,.08,-.3734,-1.4969
.026,.16,-.3776,-1.4852
.027,.16,-.3767,-1.4836
.028,.16,-.3763,-1.4817
.029,.16,-.376,-1.4823
.03,.16,-.375,-1.4833
.031,.16,-.375,-1.4862
.032,.16,-.3741,-1.4891
.033,.16,-.3734,-1.4914
.034,.16,-.3728,-1.4934
.035,.16,-.3721,-1.4956
.036,.16,-.3715,-1.4963
.037,.16,-.3708,-1.4972
.038,.16,-.3702,-1.4976
.039,.16,-.3692,-1.4979
.04,.16,-.3702,-1.4979
.041,.16,-.3712,-1.4976
.042,.16,-.3724,-1.4966
.043,.16,-.3741,-1.4959
.044,.16,-.375,-1.495
.045,.16,-.3763,-1.495
.046,.16,-.377,-1.4943
.047,.16,-.3773,-1.4927
.048,.16,-.3783,-1.4921
.049,.16,-.3783,-1.4911
.05,.16,-.378,-1.4901
.051,.24,-.1363,-1.7483
.052,.24,-.1354,-1.7502
.053,.24,-.1344,-1.7515
.054,.24,-.1337,-1.7531
.055,.24,-.1331,-1.7544
.056,.24,-.1328,-1.7548
.057,.24,-.1315,-1.7544
.058,.24,-.1321,-1.7544
.059,.24,-.1334,-1.7548
.06,.24,-.135,-1.7535
.061,.24,-.1363,-1.7522
.062,.24,-.138,-1.7515
.063,.24,-.1386,-1.7509
.064,.24,-.1393,-1.7506
.065,.24,-.1399,-1.7493
.066,.24,-.1402,-1.7486
.067,.24,-.1405,-1.747
.068,.24,-.1402,-1.746
.069,.24,-.1402,-1.7457
.07,.24,-.1393,-1.7437
.071,.24,-.1393,-1.7418
.072,.24,-.1396,-1.7408
.073,.24,-.1393,-1.7395
.074,.24,-.1386,-1.7382
.075,.24,-.138,-1.7389
.076,.32,-.1049,-2.1916
.077,.32,-.1042,-2.191
.078,.32,-.1045,-2.191
.079,.32,-.1042,-2.1916
.08,.32,-.1029,-2.1949
.081,.32,-.1023,-2.1975
.082,.32,-.1013,-2.2001
.083,.32,-.1016,-2.203
.084,.32,-.1,-2.2046
.085,.32,-.0994,-2.2059
.086,.32,-.0987,-2.2066
.087,.32,-.0981,-2.2072
.088,.32,-.0977,-2.2075
.089,.32,-.0987,-2.2072
.09,.32,-.1,-2.2066
.091,.32,-.1013,-2.2056
.092,.32,-.1032,-2.2053
.093,.32,-.1042,-2.2046
.094,.32,-.1055,-2.2043
.095,.32,-.1058,-2.203
.096,.32,-.1071,-2.2023
.097,.32,-.1068,-2.2004
.098,.32,-.1075,-2.1998
.099,.32,-.1062,-2.1988
.1,.32,-.1062,-2.1978
.101,.24,-.1393,-1.7528
.102,.24,-.1399,-1.7518
.103,.24,-.1396,-1.7506
.104,.24,-.1412,-1.7499
.105,.24,-.1409,-1.7489
.106,.24,-.1405,-1.7473
.107,.24,-.1412,-1.746
.108,.24,-.1405,-1.7447
.109,.24,-.1402,-1.7437
.11,.24,-.1396,-1.7424
.111,.24,-.1399,-1.7405
.112,.24,-.1389,-1.7386
.113,.24,-.1383,-1.7392
.114,.24,-.1373,-1.7405
.115,.24,-.1373,-1.7437
.116,.24,-.137,-1.7463
.117,.24,-.1357,-1.7493
.118,.24,-.135,-1.7509
.119,.24,-.1344,-1.7525
.12,.24,-.1337,-1.7538
.121,.24,-.1331,-1.7548
.122,.24,-.1318,-1.7554
.123,.24,-.1321,-1.7548
.124,.24,-.1331,-1.7548
.125,.24,-.1347,-1.7544
.126,.16,-.376,-1.4966
.127,.16,-.3773,-1.4959
.128,.16,-.3776,-1.495
.129,.16,-.3783,-1.4937
.13,.16,-.3789,-1.4927
.131,.16,-.3789,-1.4917
.132,.16,-.3786,-1.4911
.133,.16,-.3783,-1.4895
.134,.16,-.3786,-1.4882
.135,.16,-.378,-1.4862
.136,.16,-.3776,-1.4852
.137,.16,-.3776,-1.4833
.138,.16,-.377,-1.4826
.139,.16,-.3767,-1.4833
.14,.16,-.3763,-1.4859
.141,.16,-.3754,-1.4891
.142,.16,-.3737,-1.4921
.143,.16,-.3734,-1.494
.144,.16,-.3731,-1.4956
.145,.16,-.3718,-1.4969
.146,.16,-.3712,-1.4982
.147,.16,-.3705,-1.4989
.148,.16,-.3695,-1.4985
.149,.16,-.3712,-1.4985
.15,.16,-.3721,-1.4982
.151,.08,-.6189,-1.241
.152,.08,-.6196,-1.2404
.153,.08,-.6196,-1.2387
.154,.08,-.6196,-1.2381
.155,.08,-.6202,-1.2368
.156,.08,-.6196,-1.2355
.157,.08,-.6193,-1.2342
.158,.08,-.6196,-1.2332
.159,.08,-.6189,-1.2313
.16,.08,-.6189,-1.2297
.161,.08,-.618,-1.228
.162,.08,-.6176,-1.2284
.163,.08,-.6173,-1.2306
.164,.08,-.616,-1.2332
.165,.08,-.616,-1.2362
.166,.08,-.6154,-1.2387
.167,.08,-.6144,-1.2404
.168,.08,-.6138,-1.2413
.169,.08,-.6125,-1.2436
.17,.08,-.6115,-1.2439
.171,.08,-.6115,-1.2436
.172,.08,-.6108,-1.2443
.173,.08,-.6131,-1.2436
.174,.08,-.6144,-1.2423
.175,.08,-.6157,-1.2426
.176,,-.856,-.99
.177,,-.8554,-.9913
.178,,-.8551,-.9926
.179,,-.8531,-.9932
.18,,-.8531,-.9936
.181,,-.8528,-.9939
.182,,-.8547,-.9929
.183,,-.8564,-.9916
.184,,-.8583,-.9916
.185,,-.8593,-.991
.186,,-.8606,-.9906
.187,,-.8612,-.9897
.188,,-.8622,-.9887
.189,,-.8622,-.9874
.19,,-.8625,-.9861
.191,,-.8619,-.9848
.192,,-.8625,-.9832
.193,,-.8615,-.9822
.194,,-.8612,-.9803
.195,,-.8606,-.9799
.196,,-.8609,-.978
.197,,-.8599,-.9764
.198,,-.8596,-.9777
.199,,-.859,-.9803
.2,,-.8583,-.9838
