Time (s),Applied Torque (Nm),Load Cell 0 (V),Load Cell 1 (V)
.001,,-.8609,-.9809
.002,,-.8606,-.9796
.003,,-.8602,-.9777
.004,,-.8596,-.9747
.005,,-.8593,-.9738
.006,,-.8583,-.9777
.007,,-.8573,-.9816
.008,,-.8564,-.9848
.009,,-.8557,-.9884
.01,,-.8541,-.99
.011,,-.8531,-.9913
.012,,-.8518,-.991
.013,,-.8541,-.9916
.014,,-.856,-.9903
.015,,-.858,-.9893
.016,,-.8596,-.9884
.017,,-.8606,-.9871
.018,,-.8612,-.9861
.019,,-.8615,-.9838
.02,,-.8615,-.9828
.021,,-.8612,-.9809
.022,,-.8602,-.979
.023,,-.8606,-.976
.024,,-.8596,-.9754
.025,,-.859,-.977
.026,.08,-.6144,-1.2329
.027,.08,-.6134,-1.2362
.028,.08,-.6118,-1.2381
.029,.08,-.6115,-1.2394
.03,.08,-.6095,-1.2407
.031,.08,-.6099,-1.24
.032,.08,-.6115,-1.2397
.033,.08,-.6138,-1.2384
.034,.08,-.6157,-1.2375
.035,.08,-.617,-1.2368
.036,.08,-.6176,-1.2352
.037,.08,-.6176,-1.2339
.038,.08,-.618,-1.2323
.039,.08,-.6183,-1.2303
.04,.08,-.6176,-1.2287
.041,.08,-.617,-1.2267
.042,.08,-.6163,-1.2251
.043,.08,-.6157,-1.2245
.044,.08,-.6151,-1.2267
.045,.08,-.6144,-1.2306
.046,.08,-.6134,-1.2349
.047,.08,-.6125,-1.2375
.048,.08,-.6112,-1.2397
.049,.08,-.6095,-1.2407
.05,.08,-.6095,-1.2404
.051,.16,-.3773,-1.4784
.052,.16,-.377,-1.4791
.053,.16,-.3757,-1.4823
.054,.16,-.3747,-1.4862
.055,.16,-.3744,-1.4898
.056,.16,-.3734,-1.4924
.057,.16,-.3718,-1.4934
.058,.16,-.3699,-1.4937
.059,.16,-.3705,-1.4943
.06,.16,-.3728,-1.4937
.061,.16,-.375,-1.493
.062,.16,-.377,-1.4917
.063,.16,-.378,-1.4908
.064,.16,-.3783,-1.4895
.065,.16,-.3789,-1.4878
.066,.16,-.3789,-1.4862
.067,.16,-.3789,-1.4839
.068,.16,-.3783,-1.4823
.069,.16,-.3776,-1.481
.07,.16,-.377,-1.4794
.071,.16,-.377,-1.4788
.072,.16,-.3757,-1.482
.073,.16,-.3747,-1.4859
.074,.16,-.3741,-1.4895
.075,.16,-.3731,-1.4924
.076,.24,-.1396,-1.748
.077,.24,-.1399,-1.7467
.078,.24,-.1402,-1.745
.079,.24,-.1393,-1.7424
.08,.24,-.1393,-1.7411
.081,.24,-.1389,-1.7386
.082,.24,-.1383,-1.7369
.083,.24,-.138,-1.7379
.084,.24,-.1373,-1.7415
.085,.24,-.136,-1.7454
.086,.24,-.1354,-1.7489
.087,.24,-.1347,-1.7515
.088,.24,-.1337,-1.7525
.089,.24,-.1328,-1.7528
.09,.24,-.1334,-1.7525
.091,.24,-.1354,-1.7525
.092,.24,-.1383,-1.7506
.093,.24,-.1396,-1.7496
.094,.24,-.1412,-1.7486
.095,.24,-.1415,-1.7473
.096,.24,-.1422,-1.7457
.097,.24,-.1425,-1.7431
.098,.24,-.1425,-1.7418
.099,.24,-.1422,-1.7395
.1,.24,-.1418,-1.7373
.101,.32,-.1052,-2.1942
.102,.32,-.1062,-2.1936
.103,.32,-.1068,-2.1936
.104,.32,-.1065,-2.192
.105,.32,-.1062,-2.1913
.106,.32,-.1062,-2.19
.107,.32,-.1058,-2.1887
.108,.32,-.1049,-2.1878
.109,.32,-.1045,-2.1858
.11,.32,-.1032,-2.1894
.111,.32,-.1032,-2.1946
.112,.32,-.1016,-2.1985
.113,.32,-.1013,-2.202
.114,.32,-.1,-2.2049
.115,.32,-.0984,-2.2062
.116,.32,-.0981,-2.2075
.117,.32,-.099,-2.2082
.118,.32,-.1013,-2.2075
.119,.32,-.1032,-2.2075
.12,.32,-.1049,-2.2072
.121,.32,-.1055,-2.2062
.122,.32,-.1065,-2.2059
.123,.32,-.1062,-2.2053
.124,.32,-.1062,-2.2043
.125,.32,-.1062,-2.2027
.126,.24,-.1415,-1.7431
.127,.24,-.1405,-1.7405
.128,.24,-.1402,-1.7392
.129,.24,-.1399,-1.7376
.13,.24,-.1389,-1.7356
.131,.24,-.1386,-1.7382
.132,.24,-.1376,-1.7421
.133,.24,-.137,-1.7463
.134,.24,-.1357,-1.7496
.135,.24,-.1344,-1.7515
.136,.24,-.1321,-1.7525
.137,.24,-.1331,-1.7528
.138,.24,-.135,-1.7522
.139,.24,-.1367,-1.7515
.14,.24,-.1383,-1.7502
.141,.24,-.1405,-1.7493
.142,.24,-.1409,-1.748
.143,.24,-.1422,-1.7463
.144,.24,-.1415,-1.7454
.145,.24,-.1418,-1.7431
.146,.24,-.1415,-1.7418
.147,.24,-.1405,-1.7398
.148,.24,-.1405,-1.7376
.149,.24,-.1396,-1.736
.15,.24,-.1386,-1.7386
.151,.16,-.3786,-1.4901
.152,.16,-.3793,-1.4885
.153,.16,-.3789,-1.4862
.154,.16,-.3789,-1.4846
.155,.16,-.378,-1.4823
.156,.16,-.3776,-1.4817
.157,.16,-.377,-1.4797
.158,.16,-.376,-1.4817
.159,.16,-.3757,-1.4859
.16,.16,-.375,-1.4901
.161,.16,-.3731,-1.4927
.162,.16,-.3721,-1.495
.163,.16,-.3712,-1.4953
.164,.16,-.3705,-1.4966
.165,.16,-.3715,-1.4959
.166,.16,-.3741,-1.4953
.167,.16,-.376,-1.494
.168,.16,-.3776,-1.4927
.169,.16,-.3793,-1.4914
.17,.16,-.3796,-1.4904
.171,.16,-.3802,-1.4888
.172,.16,-.3796,-1.4872
.173,.16,-.3786,-1.4852
.174,.16,-.3789,-1.4833
.175,.16,-.3789,-1.4817
.176,.08,-.6144,-1.2345
.177,.08,-.6134,-1.2375
.178,.08,-.6121,-1.24
.179,.08,-.6115,-1.2413
.18,.08,-.6105,-1.2417
.181,.08,-.6108,-1.242
.182,.08,-.6131,-1.2417
.183,.08,-.6151,-1.2404
.184,.08,-.617,-1.2394
.185,.08,-.618,-1.2384
.186,.08,-.6186,-1.2368
.187,.08,-.6193,-1.2352
.188,.08,-.6196,-1.2332
.189,.08,-.6183,-1.2313
.19,.08,-.6186,-1.2297
.191,.08,-.6176,-1.2284
.192,.08,-.617,-1.2261
.193,.08,-.6163,-1.2271
.194,.08,-.616,-1.2313
.195,.08,-.6144,-1.2349
.196,.08,-.6138,-1.2381
.197,.08,-.6125,-1.2397
.198,.08,-.6112,-1.241
.199,.08,-.6108,-1.2413
.2,.08,-.6115,-1.2413
.201,,-.857,-.9851
.202,,-.8577,-.9835
.203,,-.857,-.9816
.204,,-.8564,-.9793
.205,,-.8557,-.9777
.206,,-.8557,-.9744
.207,,-.8544,-.976
.208,,-.8534,-.9793
.209,,-.8534,-.9828
.21,,-.8525,-.9864
.211,,-.8502,-.9893
.212,,-.8495,-.9903
.213,,-.8482,-.991
.214,,-.8499,-.9906
.215,,-.8515,-.9903
.216,,-.8534,-.989
.217,,-.8547,-.988
.218,,-.856,-.9864
.219,,-.8567,-.9854
.22,,-.857,-.9832
.221,,-.857,-.9822
.222,,-.856,-.9799
.223,,-.8554,-.9786
.224,,-.8557,-.976
.225,,-.8551,-.9747
