Time (s),Applied Torque (Nm),Load Cell 0 (V),Load Cell 1 (V)
.001,,-.8602,-.9848
.002,,-.8606,-.9838
.003,,-.8602,-.9812
.004,,-.8602,-.9803
.005,,-.8593,-.9786
.006,,-.8596,-.977
.007,,-.859,-.9754
.008,,-.8583,-.9744
.009,,-.8577,-.977
.01,,-.8567,-.9809
.011,,-.8557,-.9835
.012,,-.8547,-.9867
.013,,-.8534,-.989
.014,,-.8521,-.99
.015,,-.8521,-.9903
.016,,-.8521,-.99
.017,,-.8534,-.9893
.018,,-.8554,-.9884
.019,,-.8573,-.9877
.02,,-.8586,-.9867
.021,,-.8593,-.9854
.022,,-.8596,-.9845
.023,,-.8602,-.9832
.024,,-.8602,-.9816
.025,,-.859,-.9796
.026,,-.8586,-.9757
.027,,-.8583,-.9741
.028,,-.858,-.9764
.029,,-.8567,-.9803
.03,,-.8557,-.9838
.031,,-.8547,-.9861
.032,,-.8534,-.988
.033,,-.8521,-.9893
.034,,-.8521,-.99
.035,,-.8518,-.9903
.036,,-.8541,-.9893
.037,,-.8557,-.9884
.038,,-.8573,-.9877
.039,,-.8586,-.9864
.04,,-.8596,-.9854
.041,,-.8596,-.9838
.042,,-.8593,-.9832
.043,,-.8599,-.9809
.044,,-.8593,-.9796
.045,,-.8586,-.9773
.046,,-.8586,-.9757
.047,,-.858,-.9741
.048,,-.8573,-.9744
.049,,-.8567,-.9783
.05,,-.856,-.9832
.051,,-1.1119,-.7467
.052,,-1.1126,-.7451
.053,,-1.1126,-.7428
.054,,-1.1129,-.7419
.055,,-1.1129,-.7402
.056,,-1.1123,-.7386
.057,,-1.1123,-.7367
.058,,-1.111,-.7344
.059,,-1.1106,-.7344
.06,,-1.1106,-.7357
.061,,-1.109,-.7393
.062,,-1.1087,-.7428
.063,,-1.1077,-.7458
.064,,-1.1067,-.7477
.065,,-1.1054,-.7487
.066,,-1.1045,-.7497
.067,,-1.1048,-.749
.068,,-1.1061,-.748
.069,,-1.1087,-.748
.07,,-1.1103,-.7467
.071,,-1.1113,-.7458
.072,,-1.1119,-.7445
.073,,-1.1123,-.7432
.074,,-1.1129,-.7419
.075,,-1.1126,-.7402
.076,,-.8651,-.9809
.077,,-.8648,-.9835
.078,,-.8641,-.9874
.079,,-.8625,-.9913
.08,,-.8619,-.9939
.081,,-.8612,-.9961
.082,,-.8606,-.9971
.083,,-.8596,-.9978
.084,,-.8606,-.9974
.085,,-.8622,-.9968
.086,,-.8638,-.9955
.087,,-.8658,-.9948
.088,,-.8661,-.9942
.089,,-.8677,-.9929
.09,,-.868,-.9913
.091,,-.8687,-.9903
.092,,-.8684,-.9884
.093,,-.8677,-.9864
.094,,-.8671,-.9845
.095,,-.8671,-.9832
.096,,-.8664,-.9809
.097,,-.8654,-.9825
.098,,-.8645,-.9864
.099,,-.8635,-.99
.1,,-.8632,-.9929
.101,,-.8667,-.9832
.102,,-.8664,-.9812
.103,,-.8654,-.9809
.104,,-.8645,-.9835
.105,,-.8641,-.9871
.106,,-.8632,-.991
.107,,-.8625,-.9936
.108,,-.8612,-.9961
.109,,-.859,-.9971
.11,,-.859,-.9978
.111,,-.8596,-.9968
.112,,-.8619,-.9965
.113,,-.8638,-.9961
.114,,-.8651,-.9952
.115,,-.8664,-.9939
.116,,-.8677,-.9926
.117,,-.868,-.9916
.118,,-.8677,-.9897
.119,,-.868,-.9884
.12,,-.8674,-.9861
.121,,-.8671,-.9845
.122,,-.8667,-.9838
.123,,-.8661,-.9812
.124,,-.8654,-.9828
.125,,-.8651,-.9861
.126,.08,-1.1032,-.748
.127,.08,-1.1045,-.7477
.128,.08,-1.1071,-.7471
.129,.08,-1.1084,-.7461
.13,.08,-1.11,-.7451
.131,.08,-1.1106,-.7441
.132,.08,-1.1116,-.7425
.133,.08,-1.1119,-.7412
.134,.08,-1.1113,-.7396
.135,.08,-1.1116,-.738
.136,.08,-1.1103,-.736
.137,.08,-1.11,-.7341
.138,.08,-1.1103,-.7328
.139,.08,-1.109,-.7321
.14,.08,-1.1084,-.7357
.141,.08,-1.1074,-.7393
