Time (s),Applied Torque (Nm),Load Cell 0 (V),Load Cell 1 (V)
.001,,-.8534,-.9893
.002,,-.8551,-.9877
.003,,-.856,-.9871
.004,,-.8564,-.9854
.005,,-.8564,-.9845
.006,,-.8567,-.9819
.007,,-.856,-.9803
.008,,-.8564,-.978
.009,,-.856,-.9757
.01,,-.8551,-.9747
.011,,-.8538,-.9764
.012,,-.8531,-.9803
.013,,-.8525,-.9848
.014,,-.8512,-.9877
.015,,-.8499,-.99
.016,,-.8489,-.9913
.017,,-.8482,-.9916
.018,,-.8495,-.9913
.019,,-.8515,-.9906
.02,,-.8538,-.989
.021,,-.8554,-.9884
.022,,-.857,-.9871
.023,,-.8577,-.9851
.024,,-.8577,-.9838
.025,,-.8577,-.9819
.026,.08,-1.1003,-.7422
.027,.08,-1.1019,-.7415
.028,.08,-1.1035,-.7402
.029,.08,-1.1054,-.7399
.03,.08,-1.1071,-.7386
.031,.08,-1.1077,-.7377
.032,.08,-1.1084,-.736
.033,.08,-1.1084,-.7347
.034,.08,-1.1077,-.7325
.035,.08,-1.1071,-.7305
.036,.08,-1.1067,-.7286
.037,.08,-1.1064,-.726
.038,.08,-1.1054,-.7273
.039,.08,-1.1048,-.7315
.04,.08,-1.1038,-.7354
.041,.08,-1.1032,-.7389
.042,.08,-1.1016,-.7419
.043,.08,-1.1003,-.7425
.044,.08,-1.0996,-.7432
.045,.08,-1.1003,-.7432
.046,.08,-1.1029,-.7419
.047,.08,-1.1048,-.7412
.048,.08,-1.1067,-.7409
.049,.08,-1.1074,-.7396
.05,.08,-1.1077,-.7377
.051,.16,-1.3526,-.495
.052,.16,-1.351,-.4976
.053,.16,-1.3503,-.4986
.054,.16,-1.3487,-.4989
.055,.16,-1.35,-.4983
.056,.16,-1.3526,-.4976
.057,.16,-1.3545,-.4963
.058,.16,-1.3555,-.4954
.059,.16,-1.3568,-.4941
.06,.16,-1.3584,-.4934
.061,.16,-1.3578,-.4912
.062,.16,-1.3571,-.4892
.063,.16,-1.3571,-.4876
.064,.16,-1.3562,-.4856
.065,.16,-1.3562,-.4827
.066,.16,-1.3558,-.4824
.067,.16,-1.3549,-.4856
.068,.16,-1.3539,-.4899
.069,.16,-1.3529,-.4934
.07,.16,-1.3516,-.4963
.071,.16,-1.3506,-.4976
.072,.16,-1.3497,-.4989
.073,.16,-1.3493,-.4989
.074,.16,-1.3513,-.498
.075,.16,-1.3532,-.4976
.076,.24,-1.615,-.2505
.077,.24,-1.6147,-.2492
.078,.24,-1.614,-.2469
.079,.24,-1.6134,-.2466
.08,.24,-1.6121,-.2498
.081,.24,-1.6117,-.2534
.082,.24,-1.6101,-.2567
.083,.24,-1.6091,-.2596
.084,.24,-1.6082,-.2612
.085,.24,-1.6069,-.2615
.086,.24,-1.6069,-.2619
.087,.24,-1.6091,-.2612
.088,.24,-1.6111,-.2606
.089,.24,-1.6127,-.2596
.09,.24,-1.6143,-.2583
.091,.24,-1.615,-.257
.092,.24,-1.6153,-.255
.093,.24,-1.6153,-.2534
.094,.24,-1.615,-.2518
.095,.24,-1.614,-.2495
.096,.24,-1.6137,-.2476
.097,.24,-1.6127,-.246
.098,.24,-1.6127,-.2476
.099,.24,-1.6114,-.2515
.1,.24,-1.6104,-.2557
.101,.32,-2.1145,-.2515
.102,.32,-2.1145,-.2557
.103,.32,-2.1128,-.2589
.104,.32,-2.1122,-.2615
.105,.32,-2.1102,-.2625
.106,.32,-2.1102,-.2622
.107,.32,-2.1119,-.2622
.108,.32,-2.1148,-.2615
.109,.32,-2.1164,-.2602
.11,.32,-2.1187,-.2593
.111,.32,-2.1196,-.258
.112,.32,-2.1196,-.2567
.113,.32,-2.1196,-.2544
.114,.32,-2.12,-.2524
.115,.32,-2.1193,-.2508
.116,.32,-2.119,-.2489
.117,.32,-2.1187,-.2473
.118,.32,-2.1177,-.2466
.119,.32,-2.117,-.2502
.12,.32,-2.1161,-.2547
.121,.32,-2.1145,-.257
.122,.32,-2.1138,-.2602
.123,.32,-2.1125,-.2615
.124,.32,-2.1115,-.2619
.125,.32,-2.1122,-.2622
.126,.24,-1.6082,-.2612
.127,.24,-1.6072,-.2622
.128,.24,-1.6062,-.2625
.129,.24,-1.6082,-.2619
.13,.24,-1.6111,-.2609
.131,.24,-1.6127,-.2599
.132,.24,-1.6137,-.2586
.133,.24,-1.6147,-.258
.134,.24,-1.6156,-.2563
.135,.24,-1.6153,-.2541
.136,.24,-1.6153,-.2524
.137,.24,-1.615,-.2505
.138,.24,-1.6143,-.2486
.139,.24,-1.6137,-.2463
.14,.24,-1.613,-.2469
.141,.24,-1.6121,-.2511
.142,.24,-1.6111,-.2554
.143,.24,-1.6095,-.258
.144,.24,-1.6091,-.2606
.145,.24,-1.6085,-.2609
.146,.24,-1.6065,-.2619
.147,.24,-1.6082,-.2615
.148,.24,-1.6095,-.2606
.149,.24,-1.6124,-.2599
.15,.24,-1.6137,-.2583
.151,.16,-1.3468,-.497
.152,.16,-1.3493,-.4954
.153,.16,-1.3513,-.4944
.154,.16,-1.3529,-.4934
.155,.16,-1.3539,-.4921
.156,.16,-1.3545,-.4902
.157,.16,-1.3545,-.4889
.158,.16,-1.3545,-.4876
.159,.16,-1.3542,-.485
.16,.16,-1.3536,-.4824
.161,.16,-1.3529,-.4817
.162,.16,-1.3523,-.4805
.163,.16,-1.3516,-.4847
.164,.16,-1.3506,-.4882
.165,.16,-1.3497,-.4918
.166,.16,-1.3481,-.4941
.167,.16,-1.3471,-.496
.168,.16,-1.3455,-.496
.169,.16,-1.3468,-.496
.17,.16,-1.3487,-.4941
.171,.16,-1.351,-.4941
.172,.16,-1.3523,-.4925
.173,.16,-1.3539,-.4918
.174,.16,-1.3542,-.4895
.175,.16,-1.3545,-.4889
.176,.08,-1.1003,-.7396
.177,.08,-1.1019,-.7389
.178,.08,-1.1038,-.738
.179,.08,-1.1051,-.7364
.18,.08,-1.1058,-.7347
.181,.08,-1.1051,-.7338
.182,.08,-1.1051,-.7318
.183,.08,-1.1045,-.7295
.184,.08,-1.1045,-.7273
.185,.08,-1.1032,-.7253
.186,.08,-1.1032,-.7253
.187,.08,-1.1016,-.7292
.188,.08,-1.1009,-.7334
.189,.08,-1.1006,-.737
.19,.08,-1.099,-.7402
.191,.08,-1.0977,-.7409
.192,.08,-1.0967,-.7419
.193,.08,-1.0977,-.7415
.194,.08,-1.0999,-.7406
.195,.08,-1.1022,-.7396
.196,.08,-1.1042,-.7389
.197,.08,-1.1051,-.7377
.198,.08,-1.1054,-.7367
.199,.08,-1.1058,-.7347
.2,.08,-1.1058,-.7328
.201,,-.8573,-.978
.202,,-.856,-.976
.203,,-.8564,-.9738
.204,,-.8557,-.9721
.205,,-.8554,-.9715
.206,,-.8541,-.9747
.207,,-.8538,-.9793
.208,,-.8521,-.9819
.209,,-.8508,-.9854
.21,,-.8499,-.9867
.211,,-.8486,-.988
.212,,-.8492,-.9874
.213,,-.8518,-.9874
.214,,-.8534,-.9861
.215,,-.856,-.9854
.216,,-.8564,-.9841
.217,,-.8573,-.9819
.218,,-.858,-.9806
