Time (s),Motor Speed (RPM),Load Cell 1,Load Cell 2
.033,50,-.9838,-1.1888
.066,50,-.9413,-1.2015
.099,50,-1.001,-1.2203
.132,50,-.9867,-1.2047
.165,50,-.9569,-1.2031
.198,50,-.9673,-1.1726
.231,50,-.9832,-1.2358
.264,50,-.9533,-1.2128
.297,50,-.9605,-1.1882
.33,50,-1.0017,-1.1869
.363,50,-.988,-1.2345
.396,50,-.9501,-1.207
.429,50,-.964,-1.1807
.462,50,-.9877,-1.2358
.495,50,-.966,-1.2212
.528,50,-.9738,-1.1843
.561,50,-.9426,-1.2044
.594,50,-.9978,-1.2177
.627,50,-.9537,-1.1904
.66,50,-.9569,-1.193
.693,50,-.9627,-1.2206
.726,50,-.9786,-1.207
.759,50,-.9533,-1.2086
.792,50,-.9845,-1.1726
.825,50,-1.0133,-1.2196
.858,50,-1.0026,-1.1946
.891,50,-.9948,-1.17
.924,50,-.9559,-1.2297
.957,50,-1.0072,-1.2193
.99,50,-.976,-1.1989
1.023,50,-.9673,-1.2015
1.056,50,-.9978,-1.2147
1.089,50,-.9783,-1.2332
1.122,50,-.9712,-1.1843
1.155,50,-.943,-1.1959
1.188,50,-1.0098,-1.2102
1.221,50,-.9708,-1.1917
1.254,50,-.9598,-1.1959
1.287,50,-.9744,-1.2303
1.32,50,-1.0198,-1.2212
1.353,50,-.9368,-1.2086
1.386,50,-.9705,-1.1541
1.419,50,-.9816,-1.2446
1.452,50,-.9598,-1.231
1.485,50,-.954,-1.1959
1.518,50,-.9533,-1.17
1.551,50,-1.0056,-1.23
1.584,50,-.9592,-1.2242
1.617,50,-.9809,-1.168
1.65,50,-.9699,-1.2326
1.683,50,-1.0023,-1.228
1.716,50,-.9699,-1.1914
1.749,50,-.9689,-1.1551
1.782,50,-.9871,-1.2242
1.815,50,-.9708,-1.2018
1.848,50,-.9718,-1.1749
1.881,50,-.9916,-1.1505
1.914,50,-1.0068,-1.2083
1.947,50,-.9588,-1.1272
1.98,50,-.9689,-1.1256
2.013,50,-.9971,-1.1765
2.046,50,-.9916,-1.2018
2.079,50,-.9906,-1.1496
2.112,50,-.9676,-1.1606
2.145,50,-1.0081,-1.2037
2.178,50,-.9848,-1.1551
2.211,50,-.9799,-1.1826
2.244,50,-.9841,-1.1466
2.277,50,-1.0065,-1.2274
2.31,50,-.9854,-1.1544
2.343,50,-1.0101,-1.1421
2.376,50,-.9923,-1.2024
2.409,50,-.9923,-1.2037
2.442,50,-.9686,-1.1823
2.475,50,-.9582,-1.1625
2.508,50,-.988,-1.2433
2.541,50,-.9812,-1.1781
2.574,50,-.9319,-1.2332
2.607,50,-.9537,-1.2219
2.64,50,-.9923,-1.2602
2.673,50,-.9284,-1.24
2.706,50,-.9504,-1.194
2.739,50,-.9576,-1.2644
2.772,50,-.977,-1.2381
2.805,50,-.9608,-1.2031
2.838,50,-.9417,-1.1982
2.871,50,-1.0039,-1.2371
2.904,50,-.9267,-1.2702
2.937,50,-.9582,-1.2053
2.97,50,-.989,-1.2109
3.003,50,-.9971,-1.2306
3.036,50,-.954,-1.2199
3.069,50,-.9494,-1.1846
3.102,50,-1,-1.2271
3.135,50,-.9744,-1.2183
3.168,50,-.9517,-1.2034
3.201,50,-.9903,-1.1654
3.234,50,-.9764,-1.2527
3.267,50,-.9559,-1.2154
3.3,50,-.9657,-1.193
3.333,50,-.9689,-1.2173
3.366,50,-1.0056,-1.1888
3.399,50,-.9498,-1.2005
3.432,50,-.9858,-1.156
3.465,50,-.965,-1.276
3.498,50,-.9864,-1.1976
3.531,50,-.9572,-1.2147
3.564,50,-.9556,-1.1826
3.597,50,-1.0179,-1.2219
3.63,50,-.9783,-1.1956
3.663,50,-.9605,-1.1933
3.696,50,-.9812,-1.231
3.729,50,-.976,-1.2222
3.762,50,-.9666,-1.206
3.795,50,-.9468,-1.1849
3.828,50,-1.0013,-1.2219
3.861,50,-.9799,-1.2193
3.894,50,-.977,-1.1791
3.927,50,-.9741,-1.1985
3.96,50,-1.0062,-1.2452
3.993,50,-.9728,-1.1797
4.026,50,-.9332,-1.1995
4.059,50,-1.0146,-1.207
4.092,50,-.9796,-1.2229
4.125,50,-.9637,-1.2015
4.158,50,-.9754,-1.1836
4.191,50,-1.0159,-1.2186
4.224,50,-.9929,-1.1937
4.257,50,-.9637,-1.2018
4.29,50,-1.0004,-1.1859
4.323,50,-.9744,-1.2498
4.356,50,-.966,-1.1658
4.389,50,-.952,-1.1839
4.422,50,-.9945,-1.2196
4.455,50,-.9877,-1.1924
4.488,50,-.966,-1.1976
4.521,50,-1.0107,-1.1275
4.554,50,-.9919,-1.2378
4.587,50,-.989,-1.2031
4.62,50,-.9553,-1.2102
4.653,50,-.9851,-1.2209
4.686,50,-.9913,-1.2524
4.719,50,-.9569,-1.2066
4.752,50,-.9715,-1.1625
4.785,50,-.9851,-1.2556
4.818,50,-.9666,-1.2199
4.851,50,-.9744,-1.2018
4.884,50,-.9605,-1.2144
4.917,50,-1.0043,-1.2475
4.95,50,-.9858,-1.2144
4.983,50,-.976,-1.205
5.016,50,-.9816,-1.2186
5.049,50,-1.0104,-1.2147
5.082,50,-.9563,-1.1869
5.115,50,-.9582,-1.1878
5.148,50,-.9887,-1.241
5.181,50,-1.0004,-1.1651
5.214,50,-.9287,-1.228
5.247,50,-.9786,-1.1943
5.28,50,-.9832,-1.2602
5.313,50,-.9858,-1.1911
5.346,50,-.9297,-1.1985
5.379,50,-1.0052,-1.2066
5.412,50,-.9939,-1.1869
5.445,50,-.9793,-1.1749
5.478,50,-.9439,-1.1907
5.511,50,-.9958,-1.2439
5.544,50,-.9689,-1.2021
5.577,50,-.9757,-1.1878
5.61,50,-.9841,-1.2212
5.643,50,-1.0013,-1.2384
5.676,50,-.9971,-1.1924
5.709,50,-.9527,-1.2002
5.742,50,-1.0068,-1.2261
5.775,50,-.9582,-1.2462
5.808,50,-.9848,-1.1817
5.841,50,-.9527,-1.1901
5.874,50,-.9945,-1.2426
5.907,50,-.9858,-1.204
5.94,50,-.967,-1.2005
5.973,50,-1.001,-1.2089
6.006,50,-1.0156,-1.2261
6.039,50,-.9747,-1.1933
6.072,50,-.9605,-1.1865
6.105,50,-.9961,-1.2219
6.138,50,-.9738,-1.2092
6.171,50,-.9514,-1.2015
6.204,50,-.9637,-1.1771
6.237,50,-.9968,-1.2433
6.27,50,-.9705,-1.1972
6.303,50,-.9721,-1.1891
6.336,50,-.9692,-1.2319
6.369,50,-.9757,-1.2319
6.402,50,-.954,-1.1904
6.435,50,-.9897,-1.1687
6.468,50,-.9757,-1.2618
