Time (s),LVDT (V),Potentiometer (V),Accelerometer (V),Tachometer (V)
.005,8.3592,7.2204,2.665,.0041
.01,8.3663,7.2211,2.6741,.0046
.015,8.379,7.2198,2.6981,.0036
.02,8.3751,7.2305,2.6715,.0042
.025,8.3855,7.2211,2.6779,.0046
.03,8.3916,7.2204,2.6951,.0044
.035,8.3946,7.2211,2.6844,.002
.04,8.3871,7.2217,2.6692,.0039
.045,8.3933,7.2207,2.688,.0037
.05,8.389,7.2204,2.6802,.0039
.055,8.3819,7.2214,2.6825,.0034
.06,8.3874,7.2198,2.702,.0086
.065,8.3787,7.2275,2.7513,.0195
.07,8.3748,7.2201,2.7798,.0248
.075,8.3725,7.2168,2.7717,.0274
.08,8.3673,7.2181,2.7298,.0334
.085,8.3534,7.2129,2.713,.0382
.09,8.354,7.2142,2.7367,.0483
.095,8.3511,7.2107,2.7496,.0535
.1,8.3397,7.2107,2.7289,.0531
.105,8.353,7.2107,2.7156,.0536
.11,8.3582,7.2074,2.6319,.0468
.115,8.3472,7.2058,2.639,.0471
.12,8.355,7.2065,2.6685,.0486
.125,8.3508,7.2026,2.6384,.0405
.13,8.3504,7.2039,2.5956,.0314
.135,8.3401,7.1996,2.6338,.0321
.14,8.3397,7.199,2.7324,.042
.145,8.3436,7.197,2.7529,.0392
.15,8.3274,7.1964,2.6919,.0356
.155,8.3375,7.1941,2.6919,.0405
.16,8.3346,7.1941,2.8012,.0588
.165,8.32,7.1899,2.8544,.0768
.17,8.3141,7.1863,2.8764,.0883
.175,8.3037,7.1844,2.8476,.0999
.18,8.2885,7.1792,2.7422,.1064
.185,8.2801,7.174,2.7636,.121
.19,8.2648,7.1688,2.7013,.1229
.195,8.2398,7.1627,2.7172,.1252
.2,8.2499,7.1594,2.5236,.1004
.205,8.2369,7.1555,2.389,.0756
.21,8.2353,7.1559,2.3948,.0577
.215,8.2489,7.1497,2.5479,.0512
.22,8.2447,7.1578,2.7581,.0646
.225,8.2467,7.1474,2.7626,.0535
.23,8.2473,7.1461,2.7114,.0426
.235,8.2467,7.1448,2.6355,.0426
.24,8.2463,7.1406,2.8015,.0675
.245,8.2324,7.1396,2.9721,.1012
.25,8.2275,7.1361,2.9776,.12
.255,8.2165,7.1302,2.869,.1362
.26,8.1964,7.1257,2.7697,.1474
.265,8.1753,7.1218,2.7837,.1658
.27,8.1633,7.1127,2.7143,.1616
.275,8.1412,7.1056,2.7344,.1796
.28,8.1396,7.1004,2.5566,.159
.285,8.1176,7.0923,2.4266,.1242
.29,8.101,7.089,2.4289,.1168
.295,8.0958,7.0845,2.5816,.1214
.3,8.0971,7.0803,2.7208,.113
.305,8.09,7.0764,2.6504,.0989
.31,8.0945,7.0605,2.6549,.0954
.315,8.0945,7.0712,2.6767,.086
.32,8.091,7.0667,2.8395,.1121
.325,8.0809,7.0621,2.9579,.1399
.33,8.0777,7.056,2.9361,.1529
.335,8.0598,7.0501,2.784,.1622
.34,8.0423,7.0443,2.6857,.1694
.345,8.016,7.0375,2.7487,.1826
.35,8.007,7.0303,2.7529,.1859
.355,7.9817,7.0219,2.6906,.186
