,Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0,4e-05,4.580408,2.978526,0.387298963,-0.492343621
1,8e-05,4.485301,2.985342,0.387623555,-0.603353738
2,0.00012,4.344425,2.983395,0.386974371,-0.704301513
3,0.00016,4.143175,2.977228,0.387298963,-0.791291862
4,0.0002,3.915633,2.969762,0.386974371,-0.863675611
5,0.00024,3.709839,2.962296,0.387298963,-0.921128176
6,0.00028,3.543646,2.956129,0.387298963,-0.963324971
7,0.00032,3.371611,2.950286,0.387298963,-0.988318456
8,0.00036,3.139525,2.942496,0.387298963,-0.996108633
9,0.0004,2.875305,2.933083,0.387298963,-0.987344684
10,0.00044,2.650036,2.924968,0.387298963,-0.961377427
11,0.00048,2.503969,2.91945,0.387298963,-0.91853145
12,0.00052,2.403994,2.915879,0.387298963,-0.859780521
13,0.00056,2.300773,2.911659,0.387298963,-0.785449227
14,0.0006,2.165742,2.908089,0.387298963,-0.697485104
15,0.00064,2.024219,2.902895,0.386974371,-0.59718651
16,0.00068,1.920674,2.899325,0.387298963,-0.486825573
17,0.00072,1.884319,2.897702,0.387298963,-0.366077695
18,0.00076,1.901848,2.898351,0.387298963,-0.238188778
19,0.0008,1.941123,2.899325,0.386974371,-0.105430953
20,0.00084,1.963845,2.900299,0.387298963,0.03089742
21,0.00088,1.980724,2.900299,0.38664978,0.167875023
22,0.00092,2.040449,2.901922,0.387298963,0.303554308
23,0.00096,2.159899,2.905817,0.387298963,0.435987725
24,0.001,2.320573,2.910686,0.386974371,0.560955577
25,0.00104,2.489687,2.916853,0.386974371,0.683002146
26,0.00108,2.65101,2.922371,0.386974371,0.794661812
27,0.00112,2.813632,2.927565,0.387298963,0.894311604
28,0.00116,2.996054,2.934056,0.387298963,0.981951511
29,0.0012,3.214831,2.941198,0.387298963,1.054985
30,0.00124,3.44854,2.949637,0.387298963,1.114061
31,0.00128,3.675432,2.957427,0.387298963,1.155608
32,0.00132,3.882524,2.964568,0.38664978,1.180927
33,0.00136,4.088643,2.972034,0.387298963,1.190015
34,0.0014,4.281778,2.978526,0.387298963,1.180277
35,0.00144,4.424276,2.983719,0.387623555,1.154635
36,0.00148,4.51354,2.98729,0.38664978,1.111788
37,0.00152,4.55801,2.989238,0.387623555,1.053037
38,0.00156,4.589821,2.990536,0.387298963,0.979679365
39,0.0016,4.611244,2.99151,0.387298963,0.891390274
40,0.00164,4.623904,2.992159,0.386974371,0.791091299
41,0.00168,4.632668,2.991834,0.387298963,0.679756226
42,0.00172,4.63851,2.992159,0.386974371,0.558683434
43,0.00176,4.642406,2.992484,0.387298963,0.431118848
44,0.0018,4.644678,2.993133,0.387623555,0.29803625
45,0.00184,4.645976,2.992159,0.387948146,0.161383192
46,0.00188,4.646625,2.992484,0.387948146,0.023756409
47,0.00192,4.647599,2.992808,0.387948146,-0.112896553
48,0.00196,4.647275,2.993133,0.387623555,-0.245978967
49,0.002,4.640458,2.992808,0.387298963,-0.373543291
50,0.00204,4.578135,2.990861,0.387623555,-0.492343621
51,0.00208,4.479133,2.987615,0.387948146,-0.603029147
52,0.00212,4.341504,2.98307,0.387298963,-0.703652331
53,0.00216,4.149018,2.977228,0.387623555,-0.79064268
54,0.0022,3.925371,2.969437,0.387948146,-0.864000202
55,0.00224,3.720551,2.961972,0.387623555,-0.921452767
56,0.00228,3.545594,2.955804,0.387623555,-0.963324971
57,0.00232,3.366742,2.949637,0.387623555,-0.988318456
58,0.00236,3.134656,2.941847,0.387948146,-0.996757815
