,Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0,0.005,3.652061,3.193083,0.356138159,1.051414
1,0.01,3.25151,3.014231,0.370420194,2.004744
2,0.015,2.913932,2.861672,0.382430087,2.229362
3,0.02,2.739949,2.782795,0.384377637,1.639576
4,0.025,2.902571,2.816229,0.378859578,0.458059966
5,0.03,3.356355,2.956778,0.363279176,-0.859455931
6,0.035,3.932188,3.153807,0.348347958,-1.807585
7,0.04,4.38078,3.325518,0.338934799,-2.027332
8,0.045,4.434339,3.397254,0.336013474,-1.436903
9,0.05,4.089941,3.341748,0.34477745,-0.262208526
10,0.055,3.656606,3.193083,0.356138159,1.052063
11,0.06,3.255405,3.015854,0.370420194,2.005068
12,0.065,2.899325,2.860698,0.382430087,2.228713
13,0.07,2.73508,2.782471,0.384053046,1.639252
14,0.075,2.907764,2.816229,0.378859578,0.458384557
15,0.08,3.353758,2.957103,0.36392836,-0.85913134
16,0.085,3.93446,3.153807,0.348347958,-1.807909
17,0.09,4.380131,3.326816,0.338934799,-2.027332
18,0.095,4.429145,3.396604,0.336013474,-1.437227
19,0.1,4.092214,3.340449,0.34477745,-0.261883935
20,0.105,3.653684,3.193083,0.356138159,1.051414
21,0.11,3.246317,3.014881,0.371069377,2.005068
22,0.115,2.909387,2.860373,0.382105495,2.229687
23,0.12,2.738326,2.782146,0.384053046,1.638927
24,0.125,2.906466,2.815255,0.378859578,0.458709149
25,0.13,3.367715,2.957427,0.363279176,-0.85913134
26,0.135,3.93446,3.154132,0.348347958,-1.806936
27,0.14,4.385,3.326492,0.338934799,-2.027332
28,0.145,4.42947,3.397254,0.336338066,-1.437227
29,0.15,4.080204,3.340774,0.345102041,-0.262533118
30,0.155,3.654658,3.194382,0.356138159,1.051414
31,0.16,3.249238,3.015205,0.370744785,2.004094
32,0.165,2.899649,2.860373,0.382105495,2.229362
33,0.17,2.744818,2.782471,0.384377637,1.639901
34,0.175,2.895754,2.815579,0.37918417,0.459033741
35,0.18,3.362522,2.956778,0.363279176,-0.85913134
36,0.185,3.939004,3.154132,0.348023367,-1.80726
37,0.19,4.382728,3.326167,0.338934799,-2.027657
38,0.195,4.426548,3.396929,0.336013474,-1.437552
39,0.2,4.088643,3.340774,0.34477745,-0.262857709
40,0.205,3.669589,3.194382,0.356138159,1.05109
41,0.21,3.249887,3.01553,0.371069377,2.004744
42,0.215,2.901922,2.860373,0.382105495,2.229362
43,0.22,2.737677,2.781822,0.384053046,1.639576
44,0.225,2.906466,2.816553,0.378859578,0.459033741
45,0.23,3.35181,2.956453,0.363279176,-0.858482158
46,0.235,3.933161,3.154132,0.34867255,-1.806936
47,0.24,4.378833,3.325193,0.338934799,-2.027657
48,0.245,4.431093,3.397254,0.336013474,-1.437227
49,0.25,4.083774,3.340449,0.34477745,-0.2631823
50,0.255,3.656281,3.192434,0.356787342,1.05044
51,0.26,3.239176,3.014231,0.370420194,2.004744
52,0.265,2.91101,2.861023,0.382430087,2.230012
53,0.27,2.743519,2.78312,0.383728454,1.640225
54,0.275,2.900623,2.815904,0.378534987,0.459033741
55,0.28,3.354082,2.956129,0.362954585,-0.858482158
56,0.285,3.926994,3.152509,0.34867255,-1.80726
57,0.29,4.382403,3.324869,0.338610208,-2.026034
58,0.295,4.440506,3.396929,0.336338066,-1.438201
59,0.3,4.090266,3.341099,0.345102041,-0.262857709
60,0.305,3.656281,3.193408,0.356462751,1.05109
61,0.31,3.253782,3.015854,0.370744785,2.004744
62,0.315,2.905492,2.860373,0.382105495,2.229362
63,0.32,2.733132,2.781497,0.384053046,1.64055
64,0.325,2.910036,2.815904,0.378534987,0.459682925
65,0.33,3.358627,2.956453,0.36392836,-0.858482158
66,0.335,3.938355,3.154781,0.34867255,-1.80726
67,0.34,4.391167,3.326167,0.339259391,-2.027657
68,0.345,4.428171,3.396929,0.336013474,-1.437227
69,0.35,4.098056,3.342397,0.34477745,-0.263506891
70,0.355,3.65336,3.194057,0.356787342,1.05044
71,0.36,3.248914,3.015854,0.370744785,2.004094
72,0.365,2.911984,2.860698,0.382430087,2.229362
73,0.37,2.738651,2.781822,0.384377637,1.639901
74,0.375,2.906466,2.815255,0.37918417,0.459358333
75,0.38,3.348889,2.956453,0.363279176,-0.858157568
76,0.385,3.939329,3.154132,0.348347958,-1.807585
77,0.39,4.383052,3.325193,0.339259391,-2.027982
78,0.395,4.434014,3.395955,0.335688883,-1.438201
79,0.4,4.087994,3.3398,0.34477745,-0.2631823
80,0.405,3.663422,3.193732,0.356462751,1.05044
81,0.41,3.244694,3.015854,0.370744785,2.00377
82,0.415,2.90322,2.860373,0.382430087,2.229687
83,0.42,2.746765,2.782146,0.384377637,1.64055
84,0.425,2.890885,2.815255,0.378534987,0.459682925
85,0.43,3.357978,2.956778,0.363603768,-0.858157568
86,0.435,3.935109,3.153483,0.348347958,-1.806936
87,0.44,4.376236,3.324869,0.338934799,-2.027982
88,0.445,4.427522,3.397254,0.336338066,-1.437876
89,0.45,4.086046,3.340449,0.34477745,-0.263831482
90,0.455,3.654983,3.193408,0.356462751,1.05109
91,0.46,3.249887,3.014231,0.370420194,2.00377
92,0.465,2.899325,2.860698,0.382754679,2.229687
93,0.47,2.736378,2.782795,0.384053046,1.64055
94,0.475,2.899,2.815255,0.37918417,0.460007516
95,0.48,3.353433,2.956129,0.363279176,-0.858157568
96,0.485,3.925696,3.152833,0.34867255,-1.806611
97,0.49,4.384026,3.325193,0.338934799,-2.027982
98,0.495,4.437909,3.397254,0.336013474,-1.438201
99,0.5,4.081177,3.340774,0.345426633,-0.263831482
100,0.505,3.66537,3.194382,0.356138159,1.050116
101,0.51,3.254107,3.015205,0.371069377,2.004419
102,0.515,2.907764,2.860698,0.382430087,2.229687
103,0.52,2.726641,2.781172,0.384053046,1.64055
104,0.525,2.909387,2.815579,0.378859578,0.460007516
105,0.53,3.359601,2.95548,0.363603768,-0.857832977
106,0.535,3.926669,3.154132,0.34867255,-1.806936
107,0.54,4.377859,3.326167,0.339583983,-2.027982
108,0.545,4.435962,3.39628,0.336013474,-1.438526
109,0.55,4.081177,3.340449,0.34477745,-0.263506891
110,0.555,3.657579,3.193408,0.356787342,1.049791
111,0.56,3.245992,3.015205,0.371069377,2.003445
112,0.565,2.904518,2.861023,0.382105495,2.230012
113,0.57,2.724368,2.781822,0.384053046,1.64055
114,0.575,2.901922,2.815255,0.37918417,0.459682925
115,0.58,3.353758,2.956778,0.363603768,-0.857832977
116,0.585,3.926345,3.152833,0.348997142,-1.806611
117,0.59,4.383052,3.325518,0.338934799,-2.027657
118,0.595,4.434014,3.397578,0.336338066,-1.438526
119,0.6,4.094161,3.341099,0.34477745,-0.264156074
120,0.605,3.65271,3.193732,0.356462751,1.049791
121,0.61,3.250212,3.014881,0.370744785,2.00377
