,Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0,0.002,3.601749,3.327466,0.328872457,-0.28233318
1,0.004,3.778329,3.365768,0.325626541,0.087376331
2,0.006,3.922774,3.401149,0.323029807,0.458709149
3,0.008,4.049367,3.430687,0.322705216,0.784599457
4,0.01,4.090915,3.449513,0.323354399,1.02707
5,0.012,4.067869,3.455681,0.322705216,1.155284
6,0.014,4.001976,3.448864,0.322705216,1.152363
7,0.016,3.865321,3.429389,0.325626541,1.020578
8,0.018,3.708865,3.4005,0.329197049,0.774861694
9,0.02,3.51281,3.363496,0.330495416,0.44605007
10,0.022,3.349538,3.325843,0.331469191,0.074392673
11,0.024,3.196329,3.291111,0.334390516,-0.29336928
12,0.026,3.096354,3.263196,0.336662658,-0.613740648
13,0.028,3.048314,3.245668,0.336338066,-0.847446072
14,0.03,3.066491,3.239176,0.334715108,-0.964947925
15,0.032,3.142122,3.247615,0.334065924,-0.95391184
16,0.034,3.272609,3.26774,0.333416741,-0.813688628
17,0.036,3.43653,3.297278,0.331144599,-0.56342905
18,0.038,3.62869,3.333308,0.326924907,-0.231696953
19,0.04,3.794883,3.370961,0.324652766,0.141258518
20,0.042,3.950365,3.406018,0.324328174,0.508696288
21,0.044,4.051639,3.433284,0.323354399,0.825498063
22,0.046,4.079554,3.450487,0.321731441,1.052388
23,0.048,4.069492,3.456005,0.321731441,1.162425
24,0.05,3.979903,3.447241,0.324003582,1.141326
25,0.052,3.851039,3.425493,0.326600316,0.992013872
26,0.054,3.683547,3.394657,0.328223274,0.732664725
27,0.056,3.490088,3.358951,0.329521641,0.394764573
28,0.058,3.322921,3.320974,0.332767558,0.021159678
29,0.06,3.188214,3.286242,0.336013474,-0.342707134
30,0.062,3.080773,3.259625,0.335688883,-0.653016151
31,0.064,3.049612,3.244045,0.335039699,-0.87179038
32,0.066,3.06714,3.2395,0.335688883,-0.971439739
33,0.068,3.159001,3.248264,0.335364291,-0.941577393
34,0.07,3.294032,3.269688,0.332118374,-0.784150863
35,0.072,3.462173,3.3002,0.328547866,-0.519933857
36,0.074,3.649464,3.338502,0.327249499,-0.180411539
37,0.076,3.825071,3.375506,0.326275724,0.195465304
38,0.078,3.95848,3.408939,0.324003582,0.557709658
39,0.08,4.060728,3.436205,0.322056032,0.863799938
40,0.082,4.089617,3.452435,0.322056032,1.076408
41,0.084,4.063325,3.455356,0.323354399,1.167294
42,0.086,3.963673,3.443671,0.324977357,1.127044
43,0.088,3.823772,3.420949,0.325951132,0.961177605
44,0.09,3.648166,3.390113,0.327574091,0.688195618
45,0.092,3.47613,3.353433,0.331144599,0.343154491
46,0.094,3.3002,3.316429,0.334065924,-0.032722493
47,0.096,3.166791,3.282996,0.334390516,-0.39107121
48,0.098,3.084344,3.257028,0.335039699,-0.689694923
49,0.1,3.044419,3.242746,0.336338066,-0.893862553
50,0.102,3.077527,3.240474,0.336338066,-0.975334828
51,0.104,3.172958,3.251835,0.333416741,-0.926321628
52,0.106,3.310587,3.273907,0.331144599,-0.752665552
53,0.108,3.485868,3.306042,0.329521641,-0.475140296
54,0.11,3.675757,3.343371,0.327898682,-0.127503161
55,0.112,3.830264,3.38005,0.324977357,0.248698323
56,0.114,3.981202,3.414133,0.322705216,0.606398443
57,0.116,4.068193,3.438802,0.322056032,0.90112804
58,0.118,4.094161,3.452759,0.323029807,1.096857
59,0.12,4.045796,3.452435,0.323029807,1.169891
60,0.122,3.944522,3.440425,0.323678991,1.111139
