Freq.	V(n015)	V(n016)
5.00000000000000e+001	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.34409225906220e+001dB,1.79875902532365e+002°)
6.29960524947437e+001	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.34403133953038e+001dB,1.79843388049953e+002°)
7.93700525984100e+001	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.34393499155181e+001dB,1.79802165196699e+002°)
1.00000000000000e+002	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.34378293911441e+001dB,1.79749717114288e+002°)
1.25992104989487e+002	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.34354379102259e+001dB,1.79682627512204e+002°)
1.58740105196820e+002	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.34316966848261e+001dB,1.79596118714632e+002°)
2.00000000000000e+002	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.34258928777721e+001dB,1.79483276332930e+002°)
2.51984209978975e+002	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.34170063562634e+001dB,1.79333753155466e+002°)
3.17480210393640e+002	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.34036712333735e+001dB,1.79131681443758e+002°)
4.00000000000000e+002	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.33842634644441e+001dB,1.78852590647373e+002°)
5.03968419957949e+002	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.33572732935936e+001dB,1.78459594175860e+002°)
6.34960420787280e+002	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.33221304373028e+001dB,1.77900271060538e+002°)
8.00000000000000e+002	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.32804367920226e+001dB,1.77107140607299e+002°)
1.00793683991590e+003	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.32370505055288e+001dB,1.76004259655144e+002°)
1.26992084157456e+003	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.32001175124988e+001dB,1.74517723319064e+002°)
1.60000000000000e+003	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.31798243707184e+001dB,1.72581811656438e+002°)
2.01587367983180e+003	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.31870770050867e+001dB,1.70134449222798e+002°)
2.53984168314912e+003	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.32336770834080e+001dB,1.67106315356799e+002°)
3.20000000000000e+003	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.33342872159424e+001dB,1.63414759123107e+002°)
4.03174735966359e+003	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.35091602449673e+001dB,1.58970546152246e+002°)
5.07968336629824e+003	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.37862136835199e+001dB,1.53699449389575e+002°)
6.40000000000000e+003	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.42009458477977e+001dB,1.47576203645403e+002°)
8.06349471932719e+003	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.47926206919448e+001dB,1.40661666092115e+002°)
1.01593667325965e+004	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.55960768514581e+001dB,1.33123381801677e+002°)
1.28000000000000e+004	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.66314267042929e+001dB,1.25215341228341e+002°)
1.61269894386544e+004	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.78971417032341e+001dB,1.17210806719997e+002°)
2.03187334651930e+004	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-3.93713300889827e+001dB,1.09317032225913e+002°)
2.50000000000000e+004	(-2.00000000000000e+001dB,0.00000000000000e+000°)	(-4.08442259245523e+001dB,1.02398341128752e+002°)
