#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,50.0,0.3000,-10.24,-5.06
2,57.4,0.3000,-9.96,-6.06
3,65.9,0.3000,-9.78,-7.22
4,75.7,0.3000,-9.65,-8.50
5,86.9,0.3000,-9.78,-9.79
6,99.8,0.3000,-10.12,-11.16
7,114.5,0.3000,-10.86,-12.55
8,131.5,0.3000,-13.24,-12.73
9,151.0,0.3000,-20.57,-15.07
10,173.4,0.3000,-14.86,-7.19
11,199.1,0.3000,-13.03,-11.19
12,228.5,0.3000,-12.40,-15.30
13,262.4,0.3000,-12.10,-19.00
14,301.3,0.3000,-12.09,-22.33
15,345.9,0.3000,-12.27,-25.65
16,397.2,0.3000,-12.51,-28.91
17,456.0,0.3000,-12.89,-32.19
18,523.6,0.3000,-13.32,-35.66
19,601.1,0.3000,-13.83,-39.09
20,690.2,0.3000,-14.42,-42.48
21,792.4,0.3000,-15.07,-45.87
22,909.9,0.3000,-15.76,-49.19
23,1044.6,0.3000,-16.58,-52.32
24,1199.4,0.3000,-17.39,-55.46
25,1377.1,0.3000,-18.16,-58.19
26,1581.1,0.3000,-19.10,-60.78
27,1815.4,0.3000,-20.06,-63.20
28,2084.3,0.3000,-21.06,-65.42
29,2393.2,0.3000,-22.09,-67.45
30,2747.7,0.3000,-23.11,-69.20
31,3154.8,0.3000,-24.18,-70.82
32,3622.2,0.3000,-25.25,-72.23
33,4158.8,0.3000,-26.32,-73.46
34,4775.0,0.3000,-27.40,-74.58
35,5482.4,0.3000,-28.51,-75.62
36,6294.6,0.3000,-29.58,-76.51
37,7227.2,0.3000,-30.71,-77.27
38,8297.9,0.3000,-31.79,-77.78
39,9527.3,0.3000,-32.86,-78.40
40,10938.8,0.3000,-33.97,-78.92
41,12559.4,0.3000,-35.04,-79.36
42,14420.2,0.3000,-36.12,-79.80
43,16556.6,0.3000,-37.23,-80.26
44,19009.5,0.3000,-38.31,-80.61
45,21825.8,0.3000,-39.39,-81.06
46,25059.4,0.3000,-40.66,-81.45
47,28772.0,0.3000,-41.75,-81.20
48,33034.7,0.3000,-42.81,-81.78
49,37928.9,0.3000,-43.95,-82.31
50,43548.2,0.3000,-44.76,-82.61
51,50000.0,0.3000,-46.15,-83.64
